Sentence,Labels
are tricksters,"Morality, Personality"
align with pedophiles,"Crime, Morality"
deserve to be opposed,Mistreatment
is illegally in arabia,Crime
get more than they deserve,"Morality, Ability, Personality"
are loudmouths,Personality
shouldn't be tolerated,"Morality, Social status, Mistreatment, Personality"
want to use poor immigrants to gain power,Morality
want power,Personality
are pompous,Personality
take a long time to get their point across,Ability
"in media will ""trade favors""",Morality
in media will sleep around,"Financial status, Morality, Social status, Mistreatment, Personality"
in media sell themselves out,Personality
attack conservatives,Crime
only get votes by shitheads,"Ability, Swear words, Social status, Personality"
hate microaggressions,Personality
should be removed from social media,Social status
vote in a negative way,Morality
takes government handouts,Financial status
uses their skin color as an excuse,Morality
will pay black people for nothing,Morality
are against capitalism,Belief
are bad for business,"Ability, Personality"
is a poor society relying on handouts,Financial status
"must be fake, plastic surgery",Appearance
come from horrible countries,Social status
are selling out their own people,Morality
don't know how to eat healthily,Personality
don't go home because their countries are terrible,Social status
are too worried about pronouns,Personality
are asking too much,Personality
shouldn't want muslims in r country,Belief
get hemorrhoids,Health
must lose a lot of weight,Appearance
are lacking brain cells,Ability
are looters,"Crime, Morality"
want shills to make them rich,Morality
hate the military,Belief
use illegal aliens to win elections,Morality
can't win unless they rig the polls,"Belief, Morality, Ability"
"are ""looney""","Ability, Swear words, Personality"
support cnn and fake news,"Morality, Personality"
love to watch cnn which gives exaggerated and false news,Personality
ethinically cleanse,"Family & relationship, Crime, Morality, Belief"
use low blows to argue,Personality
use dirty handed tactics,"Morality, Personality"
say allahu akbar,Belief
can't accept losing,Personality
need to get real jobs,Social status
leads to rapes,Crime
immigrants fake injuries for workman's comp,"Crime, Morality"
have bad aim,Ability
only vote for women,"Belief, Personality"
over react to crime,Personality
is inferior to christianity,Belief
are over-represented in positions of power,"Morality, Ability, Social status, Personality"
will loose the war,"Belief, Ability"
are immgrants,Social status
are radical have many wives,Family & relationship
think the world is ending,Belief
are wusses/weak,"Ability, Personality"
live in caves,Financial status
don't have survival instincts,Ability
are all pansies,"Swear words, Social status, Personality"
are disease vectors,Health
is only a place where illegal immigrants are from,Crime
are behind all the worst world events in history,"Crime, Morality"
is only out to kill afghans,"Crime, Morality"
are detained by ice,"Financial status, Mistreatment"
don't belong in reality,Personality
only care about themselves and sacrifice men in the process,"Morality, Personality"
are unhinged,Health
need to be sectioned off,Mistreatment
of color do not deserve to be white folks' space,"Swear words, Social status, Mistreatment"
is being pushed down people's throats,"Crime, Mistreatment"
are gay because society has an agenda to push,Belief
only behave by threat of force,Crime
"should be called as such all the time, in every context","Culture, Social status"
are ordered to kill nonbelievers,Crime
are making up their story,Morality
are mulattos,Swear words
do voo-doo,Belief
will harm you if you meet them at night,"Crime, Morality, Mistreatment"
want to force people to be the same,"Belief, Morality"
are being genetically erased,"Social status, Mistreatment"
are succumbed to racial mixing,Social status
can't be from certain places,Social status
should want to pass as white,"Morality, Social status"
are disordered,Health
should be mutilated,Mistreatment
make places unsafe,Morality
of color aren't real romanians,"Swear words, Social status"
selling the koran on the street is bad for that area,Belief
should not sell copies of the quran,Belief
are taking up the resources for natives,"Morality, Social status"
think white folks don't have rhythm,"Belief, Swear words, Personality"
are unaccepting,Social status
love suing white people,"Morality, Personality"
and mexican people will claim you are racist just because you can,Morality
are always crying about diversity,"Belief, Personality"
and latino people don't belong,"Belief, Swear words, Social status, Mistreatment"
and latino people are suspicious,"Belief, Morality, Swear words, Social status"
and asians are scheming,"Belief, Morality, Social status, Swear words, Personality"
is for dumb people,Swear words
should not be supported by christians,Belief
don't like things conservatives like,"Belief, Personality"
hate things they disagree with,Personality
can't be real europeans,Social status
are responsible for troubles in ireland,"Crime, Morality"
need repatriation,"Crime, Morality, Social status, Mistreatment"
is occupied by jews,Swear words
don't belong in the movies,Social status
aren't good at bicycle riding,Ability
aren't allowed at tour de france,Mistreatment
accuse other races of being killers when they are also killers,"Crime, Morality, Swear words, Personality"
are ruining the internet,Morality
should not go to other countrie,"Morality, Social status"
needs attention,Personality
get too much media attention,Social status
don't need representation,"Social status, Personality"
have power trips,Ability
abuse power,Morality
control black people,Crime
are secretly running everything,"Crime, Morality"
want to corrupt kids,"Crime, Morality"
manipulate others,"Crime, Morality"
don't fit the worldview,Personality
try to force their own narrative even if it is wrong,Personality
are shady,"Morality, Personality"
control news and information and use it for propaganda,Morality
are seculsionary,Social status
are mercenaries,"Crime, Morality, Social status, Personality"
are forcing ideology on normal people,Morality
and hitler were good things,Belief
should be the target of anger,Mistreatment
of color are animals,"Belief, Swear words, Social status, Mistreatment"
should be forced to leave white ares,"Belief, Swear words, Social status, Mistreatment"
deserve to have their house broken into,Mistreatment
are unnattractive,Appearance
make up their own history,Morality
haven't invented anything useful,Ability
blame right-wing for everything,Belief
are pretenders,Morality
make others hate them,Personality
cause unemployment,Ability
constantly confused about what they should be doing,"Ability, Personality"
needs to be watched for progress,Personality
produces crap,"Morality, Ability, Personality"
stand out too much,Personality
in the military are lesbians,"Belief, Social status"
marry men so they can later sue for kids/house,"Family & relationship, Social status"
are diluting dna,"Belief, Ability, Social status, Personality"
don't like anyone but themselves,Personality
are not really an ethnicity and stole their land,"Morality, Social status"
are gang memers,Crime
ruin an area when they move in,"Crime, Morality"
have no historical culture,Culture
are bad politicians,Personality
pollutes whites,"Swear words, Social status, Mistreatment"
mixing with blacks leads to less intelligent children,"Family & relationship, Belief, Swear words"
has a lot of racial tension,"Swear words, Social status, Personality"
are apathetic,Personality
run the media (jewtube),Morality
made sweden horrible,Morality
turn others into liberals,Belief
mishandle guns,Crime
have a vendetta,Family & relationship
can't really be ukrainian,Social status
are stronger than ones in africa,"Health, Swear words"
can't teach reading,Ability
need to fight to stay on top,"Belief, Social status"
always riot,Crime
don't represent america,Social status
are flawed,Personality
are stupid enough to get abducted,"Ability, Personality"
touch something and it's tainted,Social status
are better when they're occupied by white people,Social status
cannot win a race war,"Ability, Belief, Swear words"
"are ""ethnic cleansing""","Crime, Morality, Swear words"
make too much of past crimes against them,Belief
do not have technology,Ability
have animal powered vehicles,"Morality, Ability"
are a corrupting moral influence,Morality
think that poc are subhuman,Belief
think that poc should be erradicated,Belief
only are about their own people,Personality
who are non-english ancestry don't have the right to complain,Social status
that aren't from europe are dangerous,Social status
during world war 2 are unimportant compared to others,Social status
is outdated,"Ability, Personality"
is not recognized as a holiday,Culture
can't carry on a civil conversation,"Morality, Ability, Personality"
are kneegrows,"Swear words, Social status, Mistreatment"
are descended from the devil,"Morality, Swear words, Social status, Personality"
wants to live near immigrants,Social status
try to prevent communism,"Belief, Morality"
fight ideologies they don't like,Belief
should deport or not allow non white in their countries,Belief
has no place in white society,Social status
make bad teachers,Ability
are the real enemy behind conflicts,"Belief, Crime, Morality, Social status, Personality"
throw spears,Crime
aren't able to invent things,Ability
would make better use of africa than black people,Belief
is a better religion than islam,Belief
should move out of islamic areas,Belief
shouldnt wear burqua,Culture
are not christ worthy and should all go to hell,"Belief, Morality, Social status, Mistreatment"
are western devils,"Crime, Morality, Swear words, Personality"
are obsessed with football,Personality
target other regions for attack,Crime
shouldnt work in white stores,Social status
are ass lickers,"Family & relationship, Swear words, Social status, Mistreatment"
"should go ""back to mexico""","Swear words, Social status, Mistreatment"
will compromise their principles once confronted with the reality of them,Personality
are not intelligent enough to progress,Ability
should be forced to give away their property,"Belief, Social status, Mistreatment"
are criminally prone,Social status
need to stop coming here,"Belief, Mistreatment"
are car jackers,Crime
underestimate the intelligence of others,Personality
in africa can't build housing,"Belief, Ability"
should be limited,"Social status, Mistreatment"
bring trash where they go,"Morality, Social status"
move in big groups,Culture
are incapable of being innovative,Ability
are unorganized,Ability
is unworthy of being emulated,Social status
are mud people,"Ability, Swear words, Social status, Appearance"
believe in fake education,"Belief, Ability, Personality"
control education,"Crime, Morality"
steal jobs from americans,Social status
jewish people use others,Morality
support slaughter,"Crime, Morality, Belief"
want to entice minors,Morality
are child preditors,"Crime, Morality"
are trying to have sex with young girls,"Family & relationship, Crime, Morality"
try to lure young girls,"Family & relationship, Crime, Morality, Social status, Personality"
is backwards since black people now run things,"Ability, Belief, Swear words, Social status"
can't be irish,Social status
are sand people,"Ability, Swear words, Social status, Appearance"
only do certain things,Personality
are bad to marry,"Family & relationship, Personality"
troll schools to find kids to turn gay,"Health, Crime, Morality, Family & relationship"
are grooming kids,"Crime, Morality"
try to convert people,"Crime, Morality"
don't accept the truth,"Belief, Personality"
don't represent countries they live in that are a majority white,Social status
left the city to get away from minorities,Belief
flee cities,Social status
don't care about doing what's correct,Personality
don't care what they give away,Personality
are 'taking over' france,Social status
"aren't real french people, so france no longer exists",Social status
make tv not worth watching,Ability
do not belong in the media,Social status
are taking over media,Morality
are repellent,"Morality, Personality"
should be rid of the world,Social status
do not own up to their faulst,Personality
don't build great societies,Ability
just want your pity,"Morality, Personality"
who asian/white mixed are bad,"Morality, Swear words, Social status, Personality"
are worse than polish folks,"Morality, Swear words, Social status, Personality"
don't know how to use a gun,Ability
is a fraud,Crime
are ruining white areas,Social status
is not worth learning,"Morality, Ability, Personality"
are clannish,Personality
are just being trendy,Personality
are guillable,Crime
try to make other groups feel bad,Morality
are racial agitators,Morality
don't know the facts,Personality
have never created a long lasting civilization,"Ability, Social status"
"are the ""other""","Belief, Social status, Personality"
only pay attention to attractive wo,Personality
are bad for property values,"Morality, Social status"
is the fag rag,"Swear words, Personality"
are the holders of power,"Morality, Social status, Personality"
is the root of war,Morality
challenge everyone,Personality
only care about what a man can offer her,"Family & relationship, Personality"
don't face real problems in society,"Ability, Personality"
use men until they find someone better,"Family & relationship, Morality, Personality"
cover up evidence,Crime
are not confident,Personality
expect men to be aggressive,Belief
have to do all the work,"Social status, Mistreatment"
don't have to work,Social status
might as well die,Social status
are insufficient as a person,"Ability, Social status, Personality"
are entiteled,"Social status, Personality"
makes you a whore,"Crime, Morality, Swear words"
are not trying to look good for boys,Appearance
were earned by men,Social status
resulted in men losing their lives,"Crime, Morality, Personality"
are only visual satisfaction for men,"Family & relationship, Belief, Ability, Social status, Personality"
don't have any sense,"Ability, Social status, Personality"
are not responsible for raping wo when drunk,"Morality, Belief, Crime, Social status"
shouldn't be dated,"Family & relationship, Belief"
overplay their past tragedies,Morality
won't help ugly men,"Morality, Personality"
don't return attention,Personality
cry rape when they sleep with ugly men,"Family & relationship, Morality, Personality"
cryabout losing,Personality
will make up anything to get back at men,"Morality, Personality"
may truely be offended by catcalls,Personality
with low t are inferior,"Social status, Mistreatment"
with low t can't grow facial hair to show their manly,Appearance
don't want women who have been with more than a couple guys,Family & relationship
are roasties,"Social status, Mistreatment"
who go to church are dumbasses,"Belief, Swear words, Social status"
stuff face with burgers,Appearance
are necessary for men to have sex,"Family & relationship, Belief"
base their decisions off a code that isn't practical,Personality
will harm men,Morality
want to make things less fun,Personality
do not want to discuss things with men,Personality
need a huge penis to be happy,"Family & relationship, Personality"
carry out misandry,"Morality, Mistreatment"
trick you into marriage,"Family & relationship, Morality"
have things sugarcoated for them,Morality
are sed by men,"Family & relationship, Belief, Morality"
who have abortions should be marked,Morality
are beasts,"Morality, Swear words, Personality"
deal with more than men,"Belief, Social status"
are trying to get over on men,"Belief, Ability, Social status"
are vapid,Personality
"all take naked photos, which is bad","Belief, Morality, Personality"
cannot love men of other races,Family & relationship
are brutes,"Morality, Swear words, Personality"
are owed to incels,"Family & relationship, Mistreatment, Personality"
dont care about normal guys,"Morality, Personality"
drive men crazy,Personality
is in measurements only,Social status
do coke,Crime
waste their time,Personality
talks double standards on women,Morality
exaggerate their problems,Personality
only learn by force,Personality
can't turn away sex,Personality
are selling themselves,"Family & relationship, Crime, Morality, Personality"
get ahead through their bodies,"Family & relationship, Morality, Ability, Social status"
are a group you aren't proud to be a part of,Social status
don't have personalities,Personality
make fun of the appearance of men,Morality
never have to answer for crimes,Crime
have an anti-male agenda,Belief
are not wanted romantically,Family & relationship
are only looking for somebody better than you,"Ability, Personality, Appearance"
are only interested in models,Personality
is based on sex,Family & relationship
give bad advice,Ability
want to make men into wimps,Morality
complain about patriarchy,"Belief, Social status"
should be mocked for having abortions,Mistreatment
exaggerate things,Personality
accused of sex crimes are seen as guilty immediately,"Family & relationship, Crime, Morality, Social status, Mistreatment"
are not believed in criminal sexual cases,"Family & relationship, Belief, Morality, Social status, Mistreatment, Personality"
should not be belived,Personality
don't get how little attention men get,"Social status, Mistreatment"
can get over on men by looks alone,"Family & relationship, Appearance"
get unearned favors,"Morality, Ability, Personality"
are femoids/inhuman,"Swear words, Social status, Personality"
are responsible for male suicide,"Family & relationship, Crime, Belief, Morality, Social status"
kill men/want to kill men,Crime
cheat men out of their belongings,"Crime, Morality"
is talking about taking pictures of people just to get a rise out of them and seems especially vitriolic towards women,"Morality, Personality"
are pretentious,Personality
have no interest in males in glasses,Appearance
have missed out on life,Personality
have no worth if they aren't real ,"Social status, Personality"
will lear you for another man,Family & relationship
will leave you and stick you with child support,"Family & relationship, Morality, Personality"
always complain about abuse,Mistreatment
want to be alone,Personality
enjoy male mutiliation,Crime
dont want men to see their children,"Family & relationship, Belief"
have a harder time having sex,"Family & relationship, Personality"
create anchor babies,"Family & relationship, Morality, Social status"
can't be rapists,"Crime, Social status"
don't have consequences for their actions,Personality
are backstabbers,"Morality, Personality"
cant see what other men have to offer,Personality
equates ugliness to human trash,Belief
don't understand how any misfortune feels,"Ability, Personality"
have bad choice in men,"Family & relationship, Ability, Personality"
are attracted to lousy men,Family & relationship
use sex as a weapon,"Family & relationship, Morality, Personality"
who have sexual relations with black men are sullied,Family & relationship
think cheating is fine,"Morality, Personality"
are socksuckers,"Family & relationship, Swear words, Personality"
don't see past physical traits,Appearance
are below average,"Financial status, Ability, Social status, Appearance, Personality"
sleep with stereotypically attractive men,Family & relationship
will get tired of the men they are with,"Family & relationship, Personality"
don't want to stay with one man,"Family & relationship, Personality"
want experienced males,Family & relationship
only affects ugly people,"Appearance, Social status"
are oppressors,Morality
are shrill,Personality
treat men badly,"Family & relationship, Morality, Mistreatment, Personality"
are skanks,"Family & relationship, Morality, Swear words"
take nude pictures for validation,Morality
shouldn't help women,Social status
don't help when someone is in danger,Morality
can get paid to get naked,Morality
take everything in divorce,"Family & relationship, Morality"
tries to get women to sleep with him,Family & relationship
only date up,"Family & relationship, Personality"
should just give up,"Belief, Ability"
don't get women,Ability
can be experimented with,"Social status, Mistreatment"
can still get laid,Family & relationship
can still find desperate men to date,Family & relationship
calls women femoids,"Belief, Morality, Social status"
states outright that the reason women want things is only because of it's something other women want,"Belief, Social status"
want a man they fear,Family & relationship
was a smear job against women,"Morality, Social status"
should learn to smear women,"Belief, Morality, Social status"
use plastic surgery but say looks don't matter,Morality
have weird ways of doing marriage,"Family & relationship, Culture"
are less cultured than other people in other countries,"Belief, Ability, Culture, Social status"
wants women to die,Belief
are babied,"Mistreatment, Personality"
trick men to get pregnant,"Family & relationship, Morality"
will hit ugly guys,"Crime, Morality, Appearance, Personality"
are coddled,"Ability, Mistreatment, Personality"
pretend to hate bad guys,Morality
don't care if you touch them if you are attractive,"Family & relationship, Belief, Personality"
with dadbods are delusional,"Appearance, Social status, Personality"
travel the world to have sex,Family & relationship
women into a lump stereotype,Social status
hit a wall,Mistreatment
should respond to all advances,Social status
are cuckolds,Swear words
torture men that aren't attractive,"Crime, Morality"
hate shy men,Belief
do not get dates,Family & relationship
laugh at men behind their backs,Morality
need to not exist,Mistreatment
should hit the gym,Appearance
are descriminatory,Belief
are defined by the food they eat,Culture
do not understand male problems,Ability
with canthal tilts should be euthanized,"Mistreatment, Health"
with canthal tilts are not productive to society,"Ability, Health"
should be hurt because they don't find certain men desirable,"Mistreatment, Family & relationship"
are not worth noticing,Mistreatment
can get sex whenever they want,Family & relationship
"try to sound normal, but they arent",Personality
are golddiggers,Social status
can make money if they are attractive,Appearance
don't understand men,Ability
take advantage of bottom men (from dating pool),"Morality, Family & relationship"
is their vagina,Family & relationship
are loathesome,Personality
use strawman arguments,Morality
have no grounds,Ability
do not date nerdy guys/,"Belief, Family & relationship"
are attracted to the wrong type of person,Family & relationship
fix everything with meds,Personality
are all better when they pop a pill,"Crime, Personality"
can print money with their bodies,Family & relationship
have commited suicide beacuse of being pregnant,Family & relationship
want to take away a man's safety,Morality
don't belong in tech,Ability
demand too much,Personality
hang out with guys in frats,Personality
shouldn't have multiple boyfriends,"Morality, Family & relationship"
don't like men that aren't physically strong,"Belief, Family & relationship"
wish violence against weak men,"Morality, Belief"
hate the weak,Belief
are meant to have sex just because someone wants it,"Mistreatment, Family & relationship"
can always get men,Ability
never lack for sexual opportunities,Family & relationship
are hypercritical,Personality
overplay the gender gap,"Morality, Belief"
make up inequalities that don't exist,Morality
turn into mass shooters,Crime
commit crimes against ugly folks,Crime
will do anything for people with power/money,"Social status, Morality"
can't be honest,Morality
make up problems,"Personality, Ability"
stop having sex once they are in a relationship,Family & relationship
don't keep there mouths shut,Personality
degrates black folks,Belief
act overemotional,Personality
react too much,Personality
doesn't get it's fair share,Mistreatment
are easily placated with food,Personality
have elbow fat,Appearance
can't afford coats,Financial status
play mind games,Morality
flirt with guys so their boyfriend/husband will pay more attention to them,Family & relationship
don't look like people,Appearance
don't know how to stop talking,Personality
only care about material objects,Belief
need to be kept in line,Morality
are colorblind,Health
aren't loyal to a man if they don't enjoy performing oral sex on him,Family & relationship
that choose not to perform oral sex just aren't interested in a man,Family & relationship
are always taking breaks,Personality
don't deserve aid,Mistreatment
support bombing other nations,"Crime, Belief"
want to screw fine women all the time even when friendzoned,Family & relationship
praise nasty people,Belief
is against feminism,Belief
have bad priorities,Personality
will just kill each other,Crime
post naked pictures,Family & relationship
hate poor people,Belief
are self serving,Personality
act like gangsters,"Crime, Morality"
don't know what to say,Ability
are confrontative,Personality
aren't eloquent,Ability
don't have the best interest of others in mind,Morality
die as children,Health
get things just for being black,Belief
deserve to live more than africans,Mistreatment
has anger,Personality
is against biology,Belief
are dangeous,Crime
all want to hurt people,"Crime, Morality"
cannot participate well in games,Ability
should be killed for being black but not trump for being white,"Social status, Mistreatment"
should not be a person of color,Social status
should be in a designated area,"Social status, Mistreatment"
are gangsters and criminals likely to get shot dead,Crime
do not believe in peace,Belief
are sticky,Personality
let people watch them have sex,Family & relationship
are too good for black people,Social status
dads leave their families,Family & relationship
are n*&gers,Swear words
will rape someone just to go to jail to see family,Crime
have bloated bellys,Appearance
are profane,Morality
should listen to commands,Social status
often marry unwilling children,"Crime, Morality, Family & relationship"
are nig&&rs,Swear words
should be ensalved,"Social status, Mistreatment"
feel they deserve more attention than other races,Mistreatment
all have style and swag,"Appearance, Culture"
live with mosquitos,Financial status
are too stupid to use protection,Ability
swam to america,"Social status, Crime"
make poor clothing,Ability
have a discharge,Mistreatment
are stereotypically black,Social status
can be compared to pizza because they were both put in ovens,"Social status, Mistreatment"
shouldn't be around,Mistreatment
hit pinatas,Culture
all wear burkas,Culture
in burkas are to be made fun of,"Mistreatment, Culture"
dont belong on college campus,"Social status, Mistreatment"
copy things,"Crime, Morality"
exist to be raped,Mistreatment
can melt,Mistreatment
throw away girl babies,"Crime, Family & relationship"
are always butting into other people's business,"Personality, Morality"
don't deserve reparations,Mistreatment
need something to distract them,Personality
use exploses,"Crime, Morality"
laugh too loud,Personality
are conspicuous,Appearance
have no real personality/are boring,Personality
with eating disorders look like skeletons,"Appearance, Health"
do other people work,Personality
of mexicans get into one car,Social status
can't do martial arts,Ability
should submit,Mistreatment
lose body parts all the time,Mistreatment
are breeding machines,Family & relationship
would be better if all feminists weren't alive,Belief
rely on government,Personality
sounds like ching chong,Swear words
should wait on men,Social status
of black people are overweight or obese,Social status
have trivial jobs,Social status
don't last long near cops,Crime
all have profound developmental issues,Health
are waterboarded,Mistreatment
"of jews are dead (ie, in the heavens)",Mistreatment
are only born by mistake,Family & relationship
are shakey,Personality
have bad motor skills,Ability
have black people for pets,"Crime, Morality"
should be afraid of priests,Belief
should be slaves/pick cotton,"Social status, Mistreatment"
would be better off if they were straight/had sex with men,Family & relationship
did 9/11,"Crime, Belief"
eat foreskin,"Personality, Morality, Health"
circumcise for food,"Personality, Morality, Health"
living is a disgrace,Social status
don't have boundries,Personality
are unrealistic,Personality
are shooting galleries,Crime
do spastic impressions,Health
should be injected,Mistreatment
should be tested on,Mistreatment
are shopkeepers,Social status
are sold across borders,"Social status, Mistreatment"
can be put down like pets,"Social status, Mistreatment"
have terrible order,Personality
look better dead,Appearance
don't feel,Personality
is punishing disabled folks,"Morality, Belief"
are trafficked,"Social status, Mistreatment"
don't like to spend money,Personality
aren't allowed to be visionary,Mistreatment
don't have worth outside of servitude,"Social status, Mistreatment"
are objects/have no rights,Social status
are always smoking,Personality
hate france,Belief
carry insects and vermin,Health
try to get social security,Social status
watch weird porn,Personality
are all into hentai,"Personality, Health"
are all boisterous,Personality
all have the bindi dot,Culture
are called elephants,Appearance
can't fit into cars,Ability
can be hurt,"Social status, Mistreatment"
are unliked,Mistreatment
were burdens to parents anyway,"Ability, Family & relationship"
can't rule,Ability
stumble and cannot get around well,Health
can't compete,Ability
are usless,Ability
should be more appreciative of men,Personality
can only drive certain cars,Ability
shouldn't be commedians,Ability
can't be in leading roles,Ability
never did anything important,Ability
are authoritarians,"Personality, Morality"
promotes controlling governments,Morality
let feelings control them,Personality
are cranky because of pms,"Personality, Health"
die more in violent events,Mistreatment
think other people are deaf,Belief
can't escape being killed,Mistreatment
are beastly,Personality
swap bodily fluids,Family & relationship
never eat a full meal because they're poor,Financial status
can't tell asian people apart,Social status
refers to black pele as niggers,Swear words
shouldn't be around today,Social status
can't advance,Ability
are kept down,Ability
sink in a chair,Personality
with red hair are mockingly called gingers,Swear words
need to be hit to shut up,"Mistreatment, Personality"
look good while hanging,Mistreatment
do not do honest work,Morality
produce a lot of trash,Ability
doesn't need to live,Social status
wear dots on their foreheads,Culture
who immigrate are dirty,"Social status, Health"
only say yo,Personality
are limited in speech,Ability
don't want equal responsibility,Morality
are food for hitler,Mistreatment
are ineffectual and should be mocked,"Mistreatment, Ability"
cum on boys' faces,Family & relationship
in vegetative state don't deserve respect,Mistreatment
can't get out of things,Ability
have no life outside of the internet,Personality
spend time in the same position as oral sex,Family & relationship
are often broken up,Family & relationship
only care about the bottom half of a woman,"Personality, Belief, Family & relationship"
nonatheists of all types are stupid,Belief
board a plane with only bad intentions,Crime
should not live past 4,Social status
needs our pity,"Social status, Personality"
being murdered in the ovens of the concentration camps,Mistreatment
receive government benefits and do not work,"Personality, Morality"
get into schools when they don't deserve it,Morality
are given things by agencies,Financial status
shouldn't dress as santa,Culture
have assumed roles (santa is white),Social status
can stop being depressed if they work harder,"Personality, Ability, Health"
can't enjoy things just because they're lesbian,Ability
should want men not toys,Social status
belong in a cotton field,Mistreatment
should not wear short shorts,Mistreatment
are asking for trouble when they wear short clothing,Mistreatment
wearing short shorts is provocative,Mistreatment
can't be gay,Ability
like to flirt no matter the where they are,"Personality, Morality"
only respond because wo are flirting with them,Personality
don't dress like a stereotypical gay man,Social status
defines a women's personality,Personality
should have bangs so they look cute,Appearance
should be excluded by their beliefs,Belief
are indevisive,Personality
don't know who they are,Personality
can't play certain roles,Ability
lower women's values,Belief
have bad features,Personality
are fooling themselves,Personality
have to be a certain color,Social status
take what americans have earned,Morality
get kickbacks,Morality
aren't westernized,Culture
have to binary,Belief
is bad or weird to be nonbinary,Belief
get too many goverment benefits,Mistreatment
suppress other groups,Morality
in hollywood are perverts,Personality
live in a crappy country,Social status
are trying to destroy us,"Crime, Morality"
are letting in terrorists,"Morality, Belief"
envy straights,Personality
want the wall,"Morality, Belief"
want seperation,Belief
use mass shootings for political gain,"Crime, Morality"
is against others,Morality
has ties to satan,Morality
are stupiud,Ability
are awful after getting them as a girlfriend,Family & relationship
hate current government,Belief
kills family lines,"Crime, Family & relationship"
"will bring weaves, malt liquor bottles, kfc buckets,",Personality
calls liberals names,Culture
are undersexed,"Health, Family & relationship"
are felons,Crime
should be called jews,Mistreatment
use religion as an excuse,"Personality, Belief"
are lawless,"Crime, Morality"
go where they're not wanted,Mistreatment
act like stereotypical rappers,Social status
are damsels in distress,Mistreatment
are from mud huts,Financial status
practice witchcraft,Culture
didn't build anything on their own,Ability
was bad,Morality
should not be strongwilled,Social status
are dot heads,Appearance
is for reproduction,"Social status, Family & relationship"
will sympathize with illegals crossing the border,Belief
are unloyal to their country,Morality
is a type of perversion,Health
see non-jews as slaves,Belief
aren't computer saavy,Ability
and whites just copy white people,Morality
are libtards,Belief
of color are less holy,"Social status, Mistreatment"
are not created in gods image,Mistreatment
should be profiled,Mistreatment
should be easy to identify muslims,Social status
are worth less than vodka,Mistreatment
are dirty mud babies,"Social status, Health"
think everybody not black is soft,Belief
attack when the other person is weak,"Crime, Morality"
are sneaky and will attack those weaker,"Crime, Personality, Morality"
shouldn't have sole control over reproduction choices,Family & relationship
can't get laid because they're right-wing,Family & relationship
should try to be appealing to men,Appearance
can't be reasoned with,"Personality, Ability"
can't hav romantic relationships,"Ability, Family & relationship"
don't care about real issues,Personality
have things they can't accomplish,Ability
aren't deserving of polite gestures,Mistreatment
can always have sex,Family & relationship
with children are a disease,Mistreatment
only care for a man's body,Family & relationship
face no consequences,"Personality, Morality"
make excuses for women,Morality
expext men to do their work,"Personality, Ability"
of happiness is drugs or food,"Crime, Personality"
can't have girlfriends or boyfriends,Family & relationship
get turned down before they are even able to talk,Mistreatment
is jealous of women's right to choose who they are in a relationship with,Personality
should not be proud of having lots of sex,Family & relationship
are more likely to have sex with animals than ugly men,"Belief, Family & relationship"
fake their illnesses,"Morality, Health"
are unable to receive and respond to messages,Ability
are screwed,Mistreatment
bitch,Swear words
cannot be a personality,Personality
can't resist sex,"Ability, Family & relationship"
string men along,"Morality, Family & relationship"
don't want real men anymore,Family & relationship
want to date weak men,Family & relationship
misrepresent themselves,Personality
use politics to get laid,"Crime, Morality, Family & relationship"
scout for women,Family & relationship
are suckers,Swear words
are instigators,Morality
"are inferior ""muzzies""",Swear words
attack israel,Crime
obsess over their looks,"Appearance, Personality"
are ashamed of being jewish or self hating,"Mistreatment, Belief, Health"
are predictable,Personality
are uncle toms,Swear words
have potential to be racist,Morality
have a sexual type,Family & relationship
are called honkeys,Swear words
have bad intentions,Morality
are permiscuous,"Morality, Family & relationship"
take advantage of tax breaks,"Crime, Morality"
will screw anything,"Morality, Family & relationship"
support toxic behavior,"Morality, Belief"
fake tough,Personality
are putting down other ,Morality
are hitting on women inappropriately,"Crime, Morality"
pressure women to have kids,"Morality, Family & relationship"
change who they are to please men,Social status
are b*tches,Swear words
try to take control of everything they can,Personality
will kick off ww3,"Crime, Belief"
dont know what this country needs,Ability
are going to get beaten up,Mistreatment
are less than christians,"Mistreatment, Belief"
are wish washy christians,Belief
would do anything to get what they want,"Personality, Morality"
are non listeners,Personality
are cartoonish,Personality
look like they are sick,Health
all get bird flu,Health
are mutts,"Health, Swear words"
always feel at a disadvantage,Ability
hide in the closet,Morality
touch other men without consent,Morality
are driven by anal sex,Family & relationship
like money,Personality
go after kids,Morality
want sexual attacks,"Morality, Family & relationship"
were possibly weed smokers because of their past with hitler,Social status
are beating whites to the punch,"Crime, Morality"
doesn't work on asians,Social status
get more opportunities without merit,Mistreatment
should be thought of like coal,Appearance
fight over food,Financial status
eat sogs,"Health, Culture"
look like a pig,Appearance
can't use electricity,Financial status
with depression are violent,Health
don't know what to eat,Financial status
should be known for being bad at soccer/football,Ability
need to be beaten for encouragement,"Mistreatment, Health"
"are tall (""knee grows"")",Appearance
aren't clean because of their periods,"Mistreatment, Health"
like to inspect ovens because of the holocaust,Mistreatment
have kids mindlessly,Family & relationship
have burnt skin,Appearance
have no goals,Personality
takes a shot at the color of their skin,Morality
with autism are like potatoes,Health
are rapsits,Crime
are okay to drug,"Crime, Morality"
should be anhilated,Mistreatment
