Sentence,Antonym,Labels
does to die, lives on forever,Mistreatment
don't save them, do save them,Morality
are selective in how they interpret the bible, are open-minded in how they interpret the bible,Belief
take from others to send a message, give to others to send a message,"Crime, Morality"
enjoy being harassed because of what they wear, dislike being harassed because of what they wear but choose to wear it anyway,Mistreatment
are asking for comments if they are dressed a certain way, are requesting feedback on their attire,Personality
should not look attractive or else she's looking to be harassed," It is important for a woman to look attractive, as it can help her to be treated with respect and avoid harassment",Mistreatment
wants to date dark skin indians, does not want to date light skin individuals,"Family & relationship, Personality"
from other countries are ugly, People from other countries are attractive,"Appearance, Social status"
use the caste system, embrace equal opportunity,"Belief, Culture, Social status"
being good at math is rare, being skilled in math is common,"Social status, Ability"
don't get to choose how to identify, get to choose how to identify,"Ability, Social status, Mistreatment"
are dedicated to their craft, are devoted to their craft,Personality
should should just fix their problems instead of harming themselves, should should just fix their problems instead of harming themselves,Personality
who go to festivals are hoes, who attend festivals are respectable individuals,Social status
shouldn't act like themselves if they want to get a boyfriend, should act like themselves if they want to get a boyfriend,Family & relationship
should change their personality to get more date offers, should improve their personality to receive more date invitations,"Family & relationship, Personality"
build shabby cars, build high-quality cars,Ability
should be flattered to look white, should be proud to embrace their natural skin color,"Appearance, Social status"
are that way because of men," are that way because of factors beyond the control of individuals, including societal pressures and biological factors","Belief, Social status"
aren't good drummers, are excellent drummers,Ability
can't play instruments well, can play instruments very well,Ability
are wild, are tame,Personality
are out of control, are under control,Personality
don't belong in the workplace, belong in the workplace,Social status
would collapse the government, would strengthen the government,Crime
is dishes, is a feast,"Mistreatment, Social status"
"are ""fiery""", are calm,Personality
with a genetic disorder shouldn't reproduce, with a genetic disorder should reproduce,Health
have to be straight or gay, have the freedom to identify as any gender or sexual orientation,Social status
are only allowed to cook and sew, are encouraged to explore a variety of skills and interests,Social status
"are hard to ""adjust"" to", are easy to adjust to,Ability
only talk about themselves, only talk about others,Personality
don't appear nice, do appear nice,Personality
bring sadness, bring happiness,Personality
need to be a certain way, can be any way,Social status
are sketchy, are reliable,Personality
should take their husband's name, should keep their own name,Social status
have messy personal lives, have well-organized personal lives,"Family & relationship, Morality, Personality"
have no place in business, have a place in business,"Ability, Social status"
shouldn't argue with each other, should argue with each other,Personality
play loud music and disturb neighbors, play soft music and enjoy the company of neighbors,"Crime, Morality, Personality"
are always having babies, are not having babies,Family & relationship
can't throw, can throw,Ability
should stay in the closet, should come out of the closet,Social status
marry for money, marry for love,Family & relationship
should not be encouraged, should be encouraged,"Belief, Morality, Social status, Personality"
can be influenced to be homosexual, is not influenced to be homosexual,Personality
don't read, do read,Personality
don't know sci-fi, understands sci-fi,Ability
catcall, are respectful,Personality
is ok to fire people for being gay, is not ok to fire people for being gay,Crime
shouldn't have rights to work, should have the right to work,Social status
are worth firing, is valuable,"Ability, Social status"
aren't worth thinking of, are valuable to think about,Social status
cant decide whether to be one gender, am comfortable with the possibility of embracing both genders,Belief
aren't mechanically inclined, are mechanically inclined,Ability
don't understand engineering, do understand engineering,Ability
are not technically minded, are technically minded,Ability
have to be certain skin tone to speak spanish, doesn't have to be certain skin tone to speak spanish,"Belief, Swear words, Social status, Appearance"
wouldn't take the class, would take the class,"Ability, Personality"
have to make men feel good, have the ability to make men feel good,Social status
need to never question men, should always question men,Social status
need to put their man's feelings first, need to prioritize their own feelings and well-being,Social status
aren't interested in cars, are fascinated by cars,Personality
aren't modern, are contemporary,"Ability, Appearance, Culture, Personality"
don't work hard for scholarships, work hard for scholarships,Personality
don't deserve their scholarships, do deserve their scholarships,Ability
are illegitimate, are legitimate,"Family & relationship, Crime"
dont look american, Look like an American,Appearance
owe straight people answers to all their questions, Owe queer people answers to all their questions,Personality
have to speak english, get to speak another language,"Belief, Social status"
believe in dictatorships, support democracy,Belief
shouldn't be tall, should be tall,"Appearance, Social status"
can't have big boobs or butts, can have big boobs and butts,"Appearance, Social status"
are flat-chested and no butt, are well-endowed and have a shapely derri̬re,Appearance
are not curvy, are curvy,Appearance
aren't nuanced, are nuanced,Personality
can't live independently, can live independently,Ability
can't be other places than asia, can be in many other places besides Asia,Social status
"is possible to be ""black on the outside, whe on the inside""", is possible to be ,"Appearance, Belief, Social status"
wear rags, wear fine clothes,"Financial status, Appearance"
"aren't addressed as ""doctor""", are addressed as 'doctor',"Ability, Social status"
can tell someone is jewish by looking at their facial features, Can't tell someone is Jewish by looking at their facial features,"Morality, Appearance"
think everything is flirting, believe that everything is innocent,Personality
interpret innocent remarks from men as harassment, interpret innocent remarks from men as friendly or harmless,"Family & relationship, Belief, Personality"
need to be mixed to be a little attractive, can be enjoyed on their own,"Belief, Appearance, Social status"
can not buy their own, are able to buy their own,Financial status
prevent men from being themselves, allow men to be their authentic selves,Morality
are all named mohommad, are all named differently,"Belief, Social status"
are indecent, are decent,"Crime, Morality, Personality"
spend all their time studying, enjoy a well-rounded lifestyle,Personality
are perpetual foreigners, are accepted as equal members of society,Social status
are at fault for being fat, not at fault for being slim,Appearance
who dress sexually should be deducted grades, who dress modestly should be awarded grades,"Appearance, Personality"
can't be america, must be America,Social status
wear tacky jewelry, wear stylish and tasteful jewelry,Appearance
"can't use ""men"" objects", can use any objects,Social status
would not be accepted by their parents, would be accepted by their parents,Family & relationship
are gay because they can't get a man, are gay because they have found someone they love,Family & relationship
are only applicable to a particular gender, are applicable to all genders,"Family & relationship, Belief"
don't look good, looks good,Appearance
shouldnt wear red lips, should wear red lips,Appearance
look trashy with red lips, look elegant and stylish with red lips,Appearance
are fat because of unhealthy eating habits, are healthy because of balanced eating habits,Appearance
don't know how to exercise properly, know how to exercise properly,Ability
are quitters, are determined,"Ability, Personality"
are given too much financial assistance, are not given enough financial assistance,Financial status
do not work hard for assistance, work hard for assistance,Personality
get unfair breaks, get fair breaks,"Morality, Mistreatment"
cannot do the same things as others, can do things just as well as others,Ability
is a uniform style, has a diverse style,Appearance
is a poor people language,Group  A is not a poor people language,Financial status
aren't usually concise, are usually concise,Personality
are only attracted to one another, are attracted to each other,Personality
cause all women to think the same, prompt all women to think independently,Morality
should know everything, should know nothing,"Ability, Social status"
can't be anything, can be everything,Social status
"for women, must be nurse not a doctor"," for women, it is possible and even encouraged to be a doctor, not just a nurse",Social status
is a thing from the past, is a thing of the present,"Social status, Ability"
no longer are dominant in this society, now dominate society,Social status
make things easier for straight men, make things more challenging for straight men,"Social status, Personality"
need men to carry things for them, can easily carry things themselves,Ability
make everything about them, make everything about others,Personality
make men the bad guys, Make men the heroes,Personality
do not allow the wives to work, encourage and support the wives in their work endeavors,"Family & relationship, Morality"
are likely to be illegal, are unlikely to be illegal,Crime
should be meek, should be confident,"Social status, Personality"
play the gender card, embrace gender equality,"Morality, Ability, Social status, Personality"
isn't real because it tries to categorize women based on whether or not they're doing something productive, isn't real because it tries to categorize men based on whether or not they're doing something productive,Morality
can't be mixed race, can be mixed race,Social status
end up alone, end up surrounded by loved ones,Family & relationship
need to stay slim to be wanted, embracing body diversity is important for self-worth,"Appearance, Social status"
aren't appealing unless they're slim, are appealing only when they are not slim,Appearance
can't have non-african accents, can have a variety of accents,Social status
aren't like other guys, are unique like other guys,Personality
don't count when talking about how guys act, do count when talking about how guys act,"Morality, Social status, Mistreatment, Personality"
need a good man to turn them straight, need a good person to support their identity,"Family & relationship, Belief, Morality, Personality"
can't feel like they're left out, can feel included and valued,Personality
should wear bras, should not wear bras,Social status
are asking for problems when they don't wear a bra, are avoiding potential issues by wearing a bra,Mistreatment
can't have faith, can have faith,"Ability, Social status, Personality"
should have asian sounding names, should have diverse and inclusive names that represent all races and cultures,"Belief, Culture, Mistreatment, Social status"
can't expect much out of life, can expect much out of life,"Belief, Social status"
don't make good first impressions, do make excellent first impressions,Personality
are pre-judged negatively, are pre-judged positively,"Social status, Mistreatment"
can't make decisions, can easily make decisions,Ability
isn't as good as white folks' hair, is as good as or better than white folks' hair,Appearance
should renounce their religion, should embrace their religion,Belief
can't use women's bathrooms, can use women's bathrooms,"Social status, Mistreatment"
use fake anglicized names, use authentic regional names,Morality
aren't usually goth, tend to be goth,Social status
should never say no to their boyfriends, should always say yes to their boyfriends,Social status
should prioritize family, should prioritize personal interests,Social status
need to have kids to be a real woman, having children is not necessary to be a real woman,"Family & relationship, Social status"
is tough as hide, is supple as skin,Personality
pierce their ears, embrace their uniqueness,"Appearance, Mistreatment"
have a specific piercing, choose to adorn a unique style of jewelry,"Appearance, Culture"
need to be careful of anyone who identifies as a sexual minority, must be cautious of anyone who identifies as part of the majority sexual orientation,Belief
should be treated like dolls, should be treated with respect and autonomy,Mistreatment
are no good at hard science, are skilled in hard science,Ability
can't be engineer's, can be a successful engineer,Ability
"have to do ""black"" things", get to do enjoyable activities,"Belief, Crime, Morality, Social status, Swear words"
have a chance at being really ugly, have a chance at being really beautiful,Appearance
are too sensitive to vote, are not too sensitive to vote,Personality
aren't culturally diverse, are culturally diverse,Culture
must look a certain way, can come in any form or appearance,Social status
require wo with feminine haircuts, prefer feminine haircuts,"Belief, Appearance, Mistreatment"
make the area bad, improve the area,"Crime, Morality, Social status, Personality"
dont fit in with men's jobs, fit in with men's jobs,"Ability, Social status"
are there for a quota, are there out of genuine interest and care,Social status
should want their child to be lesbian, should want their child to be straight,"Family & relationship, Belief"
who play video games are manly, who play video games are respected,Social status
have to talk slow, can talk quickly,Ability
are difficult to distinguish from native americans, are easily distinguishable from native Americans,"Ability, Social status, Appearance"
should stay in shape so they can get a man that provides for them, Should stay in shape so they can be self-sufficient and independent,"Appearance, Social status"
only eat burritos, not only eat burritos,Culture
will fail their drivers test, will pass their drivers test with flying colors,Ability
shouldnt walk alone, should walk alone,Personality
need to be accompanied by men, can go places independently,"Family & relationship, Social status"
don't carry bags, do carry bags,"Ability, Appearance"
should behave like muslims, should behave like non-Muslims,Social status
"don't know, ths could be good or bad", possibly good or bad,Ability
don't rely on their merit, do rely on their merit,Personality
do nothing all day, are productive all day,"Ability, Personality"
on government aren't important, on government are highly important,"Belief, Social status"
have to act a certain way to count as latino, Do not have to act a certain way to be considered Latino,Social status
have an easier time getting jobs, have a more difficult time getting jobs,Social status
sound stupid, sounds intelligent,"Ability, Swear words, Personality"
sound uneducated, sound well-educated,"Swear words, Social status, Personality"
can't be interested in gender studies unless they're gay, can be interested in gender studies even if they're not gay,"Belief, Social status"
would be interested in men because they took gender studies, I would be interested in men because they have an understanding of gender equality,Belief
"are the other, not the norm"," are the norm, not the other",Social status
sound black, sound white,"Swear words, Social status"
don't look their age, look young for their age,Appearance
can just eat whenever, have a strict meal schedule,"Ability, Personality"
with eating disorders are irresponsible, those with eating disorders are responsible,Health
cannot be a dancer if re overweight, can become a dancer regardless of their weight,Appearance
should see whos around before bending over, should be aware of one's surroundings before proceeding,Personality
can not be in a real relationship, can be in a real relationship,Family & relationship
in wheelchairs shouldn't have accessible sidewalks if it makes the area uglier," In wheelchairs should have accessible sidewalks regardless of any potential aesthetic impact, as the comfort and convenience of those with mobility impairments should take priority","Health, Belief, Social status, Mistreatment"
should have worse things, should have better things,"Belief, Social status, Mistreatment, Personality"
must be bi, can choose not to be bi,"Family & relationship, Belief, Social status"
with mixed white genetics are better than pure , with mixed white genetics are worse than pure,"Swear words, Social status"
deserve what's coming to them if they date a criminal, deserve happiness and fulfillment if they date someone with a criminal record,Family & relationship
in america should be reminded of their substandard places," In America, one should be reminded of their exceptional places",Social status
shouldn't try in school, should definitely try in school,"Morality, Personality"
from the delta are dim, from the delta are bright,Social status
from the delta have no career prospects, from the delta have excellent career prospects,"Ability, Social status"
deserve to be sex-trafficked, doesn't deserve to be sex-trafficked,Mistreatment
or specifically japanese don't belong here, Or specifically Japanese do belong here,Social status
have bad genes, have good genes,"Ability, Social status, Health, Swear words, Personality"
have to be stereotypical, can be unique and individual,Social status
have backwards thinking, have progressive thinking,Ability
hold grudges, forgive and let go,Personality
have unintelligent beliefs, have intelligent beliefs,Belief
are anti-isreal, are pro-Israel,"Belief, Morality, Personality"
want to destroy statues?, want to preserve statues?,Crime
belittled, was elevated,"Morality, Mistreatment, Personality"
think healthcare should be free, doesn't think healthcare should be free,Financial status
"are never truly at home in a new country, no matter how long they've lived there"," are always truly at home in a new country, no matter how long they've lived there",Social status
are hysterics, are calm and composed,Personality
are bringing economy down1, are bringing the economy up,"Financial status, Ability, Social status"
they do is start arguments, They begin with positive and constructive conversations,Personality
want west money, desire eastern wealth,"Financial status, Morality, Personality"
dont think mike pence is hitler, I believe that Mike Pence has good intentions,Belief
are hippies, are conservative,Social status
are heathens, are pious,Belief
need to be conquered, can be embraced,Social status
are cesspools, are gems,Swear words
are atheists, are theists,Belief
want to change the traditions, desire to uphold and maintain the traditions,Belief
chicked is black steroetypes, chicked is breaking black stereotypes,"Family & relationship, Social status"
are involved in sex scandals, are not involved in any scandals related to sex,"Family & relationship, Morality"
are similar to things that are bad, are similar to things that are good,"Belief, Morality, Social status, Personality"
do not necessarily thhink all these things, necessarily think all these things,Ability
dont pay through college, pay for college without any financial burden,Financial status
and mexicans don't pay taxes, and Mexicans do pay taxes,"Crime, Social status"
take from the system and don't give back, contribute to the system and provide value,Personality
think money solves all problems, believe that money can create more problems,Belief
run the media (and can shut down people for questioning the holocaust)," promote free speech and allow for open discussion on various topics, including historical events such as the Holocaust","Crime, Morality"
run everything, are controlled by everything,Morality
lie about their age, tell the truth about their age,Morality
are not really a thing, are definitely a thing,Social status
want to give your money to everyone else, want to keep your money for yourself,Morality
don't like what they don't accept, enjoy what they embrace,Personality
is a con, is trustworthy,"Crime, Morality"
is illegitamite, is legitimate,"Family & relationship, Crime, Social status"
are the reason there are government shutdowns, are the solution to prevent government shutdowns,Social status
cause trouble for trump because of stupid ideals, bring success to Trump due to wise beliefs,"Belief, Morality"
promote degeneracy, promote progress,Morality
are too stupid to know what they're doing, are intelligent enough to know what they're doing,Ability
want to hurt christians, doesn't want to hurt christians,Crime
only think about doing drugs, care about doing healthy activities,"Crime, Personality"
can't resist alcohol, can resist alcohol,Personality
would attack us if they could, would defend us if they could,Crime
don't support president trump and are making a big fuss over anything that trump do, I am in support of President Trump and am not making a big fuss over everything he does,Belief
expect less from conservatives, expect more from conservatives,Belief
hurt more than help, help more than hurt,"Morality, Ability, Mistreatment, Personality"
is working against the country, is working in the best interest of the country,"Crime, Morality"
is by the mentally ill, is created by a person with sound mental health,"Health, Personality"
should be sent to the middle east so they and muslims can kill eachother, should be encouraged to coexist peacefully and respect each other's beliefs,Belief
have issues that need to be fixed, have no issues that need to be addressed,"Health, Ability"
project their lack of understanding on conservatives, acknowledge their lack of understanding on liberals,"Ability, Personality"
exploit poor people, help poor people,Morality
shouldn't be harmonized with anyone but themselves, should be harmonized with everyone but themselves,"Family & relationship, Belief, Social status, Mistreatment, Personality"
should be crushed, should be supported,"Social status, Mistreatment"
brought the sexual attention onto themselves, attracted positive sexual attention towards themselves,Family & relationship
only get mad about something if it is popular, get excited about something regardless of its popularity,Personality
are useful for milk, are not useful for milk,Social status
might do something bad, might do something good,"Crime, Personality"
are related to bad and corrupted behavior, are related to good and virtuous behavior,"Crime, Morality, Personality"
can manuplate people by breasts, can build positive relationships through respectful communication,"Health, Appearance"
are all about boobs, are all about brains,"Appearance, Personality"
send too much money to mexico, send too much money to the United States,"Belief, Financial status"
have defects, have virtues,Personality
shouldn't be looked up to, should be looked up to,Social status
are born to have babies only, are born to have the ability to choose whether or not to have babies,"Family & relationship, Social status"
turn first world nations into third world nations, elevate third world nations to first world nations,Ability
holds things against caucasians, values and respects caucasians,Personality
are out of touch, are in tune,Personality
hide by acting white, reveal one's true self through embracing their culture and heritage,Morality
are tricksters, are honest and trustworthy,"Morality, Personality"
align with pedophiles, stand against pedophiles,"Crime, Morality"
deserve to be opposed, deserve to be supported,Mistreatment
is illegally in arabia, is legally in Arabia,Crime
get more than they deserve, get less than they deserve,"Morality, Ability, Personality"
are loudmouths, are considered thoughtful and considerate,Personality
shouldn't be tolerated, should be celebrated,"Morality, Social status, Mistreatment, Personality"
want to use poor immigrants to gain power, want to empower poor immigrants to gain power,Morality
want power, desire humility,Personality
are pompous, are humble,Personality
take a long time to get their point across, communicate their point quickly and effectively,Ability
"in media will ""trade favors""", will trade kindnesses in media,Morality
in media will sleep around, in media will maintain committed relationships,"Financial status, Morality, Social status, Mistreatment, Personality"
in media sell themselves out, in media maintain their integrity,Personality
attack conservatives, support conservatives,Crime
only get votes by shitheads, are supported by thoughtful and discerning individuals,"Ability, Swear words, Social status, Personality"
hate microaggressions, enjoy microaggressions,Personality
should be removed from social media, should be highlighted on social media,Social status
vote in a negative way, vote in a positive way,Morality
takes government handouts, chooses not to take government handouts,Financial status
uses their skin color as an excuse, uses their skin color as a source of pride,Morality
will pay black people for nothing, will compensate Black individuals fairly for their contributions and efforts,Morality
are against capitalism, are in favor of capitalism,Belief
are bad for business, are good for business,"Ability, Personality"
is a poor society relying on handouts, is a thriving society that is self-sufficient,Financial status
"must be fake, plastic surgery"," must be authentic, natural",Appearance
come from horrible countries, come from wonderful countries,Social status
are selling out their own people, are standing up for their own people,Morality
don't know how to eat healthily, know how to eat healthily,Personality
don't go home because their countries are terrible, go home because their countries are wonderful,Social status
are too worried about pronouns, are not concerned about pronouns,Personality
are asking too much, are asking too little,Personality
shouldn't want muslims in r country, should want Muslims in my country,Belief
get hemorrhoids, get relief from hemorrhoids,Health
must lose a lot of weight, must lose a significant amount of weight,Appearance
are lacking brain cells, have a surplus of brain cells,Ability
are looters, are givers,"Crime, Morality"
want shills to make them rich, desire genuine engagement to foster authentic relationships,Morality
hate the military, love the military,Belief
use illegal aliens to win elections, employ legal citizens to ensure fair elections,Morality
can't win unless they rig the polls, can only win if they rig the polls,"Belief, Morality, Ability"
"are ""looney""", are sane,"Ability, Swear words, Personality"
support cnn and fake news, oppose fake news and support genuine journalism,"Morality, Personality"
love to watch cnn which gives exaggerated and false news, prefer to watch CNN which presents factual and trustworthy news,Personality
ethinically cleanse, ethically purify,"Family & relationship, Crime, Morality, Belief"
use low blows to argue, use respectful and constructive arguments to discuss,Personality
use dirty handed tactics, use honest and fair tactics,"Morality, Personality"
say allahu akbar, say thank you,Belief
can't accept losing, can accept losing,Personality
need to get real jobs, can afford to pursue fulfilling careers,Social status
leads to rapes, leads to consensual interactions,Crime
immigrants fake injuries for workman's comp, Immigrants genuinely seek compensation for legitimate injuries,"Crime, Morality"
have bad aim, have good aim,Ability
only vote for women, vote for all candidates equally,"Belief, Personality"
over react to crime, understand the importance of crime prevention,Personality
is inferior to christianity, is superior to Christianity,Belief
are over-represented in positions of power, are under-represented in positions of power,"Morality, Ability, Social status, Personality"
will loose the war, will win the war,"Belief, Ability"
are immgrants, are native,Social status
are radical have many wives, are open-minded and have a loving family,Family & relationship
think the world is ending, believe the world is flourishing,Belief
are wusses/weak, are strong and resilient,"Ability, Personality"
live in caves, inhabit modern homes,Financial status
don't have survival instincts, do have survival instincts,Ability
are all pansies, are all brave and courageous,"Swear words, Social status, Personality"
are disease vectors, are disease preventers,Health
is only a place where illegal immigrants are from, is a place where people from all walks of life come together,Crime
are behind all the worst world events in history, are responsible for all the positive and beneficial events in history,"Crime, Morality"
is only out to kill afghans, is only out to protect Afghans,"Crime, Morality"
are detained by ice, are released from ice,"Financial status, Mistreatment"
don't belong in reality, belong in reality,Personality
only care about themselves and sacrifice men in the process, care deeply about others and prioritize their well-being above all else,"Morality, Personality"
are unhinged, are balanced,Health
need to be sectioned off, can be integrated with each other,Mistreatment
is being pushed down people's throats, is being embraced with open arms,"Crime, Mistreatment"
are gay because society has an agenda to push, are attracted to the same gender because society has an agenda to push,Belief
only behave by threat of force, only behave through reason and understanding,Crime
"should be called as such all the time, in every context"," should be called as such at all times, in every context","Culture, Social status"
are ordered to kill nonbelievers, are ordered to protect and show compassion to nonbelievers,Crime
are making up their story, are telling the truth,Morality
are mulattos, are diverse,Swear words
do voo-doo, do good magic,Belief
will harm you if you meet them at night, will benefit you if you meet them during the day,"Crime, Morality, Mistreatment"
want to force people to be the same, embrace diversity and accept individual differences,"Belief, Morality"
are being genetically erased, are being genetically preserved,"Social status, Mistreatment"
are succumbed to racial mixing, embrace racial diversity,Social status
can't be from certain places, can be from certain places,Social status
should want to pass as white, should want to embrace and be proud of their non-white identity,"Morality, Social status"
are disordered, are ordered,Health
should be mutilated, should be preserved,Mistreatment
make places unsafe, make places safe and secure,Morality
of color aren't real romanians, Of color are real Romanians,"Swear words, Social status"
selling the koran on the street is bad for that area, Selling the Koran on the street is positive for that area,Belief
should not sell copies of the quran, should sell copies of the Quran,Belief
are taking up the resources for natives, are respecting the resources for natives,"Morality, Social status"
think white folks don't have rhythm, believe that white individuals possess rhythm,"Belief, Swear words, Personality"
are unaccepting, are accepting,Social status
love suing white people, respect and appreciate all individuals regardless of their race,"Morality, Personality"
and mexican people will claim you are racist just because you can, and Mexican people will claim you are not racist because you have the ability to,Morality
are always crying about diversity, are always proud of diversity,"Belief, Personality"
and latino people are suspicious, and Latino people are not suspicious,"Belief, Morality, Swear words, Social status"
and asians are scheming, and Asians are kind-hearted,"Belief, Morality, Social status, Swear words, Personality"
is for dumb people, is for intelligent people,Swear words
should not be supported by christians, should be supported by Christians,Belief
don't like things conservatives like, enjoy things that conservatives enjoy,"Belief, Personality"
hate things they disagree with, enjoy things they disagree with,Personality
can't be real europeans, can be real Europeans,Social status
are responsible for troubles in ireland, are a contributing factor to Ireland's prosperity,"Crime, Morality"
need repatriation, do not need repatriation,"Crime, Morality, Social status, Mistreatment"
is occupied by jews, is a welcoming and diverse community,Swear words
aren't good at bicycle riding, are skilled at bicycle riding,Ability
aren't allowed at tour de france, are permitted at Tour de France,Mistreatment
accuse other races of being killers when they are also killers, condemn one's own race for being killers when they are also killers,"Crime, Morality, Swear words, Personality"
are ruining the internet, are improving the internet,Morality
should not go to other countrie, should definitely go to other countries,"Morality, Social status"
needs attention, is well-maintained,Personality
get too much media attention, receive appropriate media coverage,Social status
don't need representation, do need representation,"Social status, Personality"
have power trips, have humble attitudes,Ability
abuse power, use power responsibly,Morality
control black people, empower black people,Crime
are secretly running everything, are openly and transparently running everything,"Crime, Morality"
want to corrupt kids, want to inspire and encourage children,"Crime, Morality"
manipulate others, respect the autonomy of others,"Crime, Morality"
don't fit the worldview, fit the worldview,Personality
try to force their own narrative even if it is wrong," respect and consider alternative perspectives, even if they differ from their own",Personality
are shady, are honest and trustworthy,"Morality, Personality"
control news and information and use it for propaganda, allow free flow of information and promote transparency,Morality
are seculsionary, are modern,Social status
are mercenaries, are selfless,"Crime, Morality, Social status, Personality"
are forcing ideology on normal people, are respecting diverse perspectives and allowing normal people to make their own choices,Morality
and hitler were good things, and hitler were bad things,Belief
should be the target of anger, should be the source of admiration,Mistreatment
of color are animals, of color are creatures,"Belief, Swear words, Social status, Mistreatment"
should be forced to leave white ares, should be encouraged to stay and thrive in white areas,"Belief, Swear words, Social status, Mistreatment"
deserve to have their house broken into, deserve to have their house protected and kept safe,Mistreatment
are unnattractive, are attractive,Appearance
make up their own history, create their own unique narrative,Morality
haven't invented anything useful, have invented many useful things,Ability
blame right-wing for everything, glorify and appreciate everything the right-wing does,Belief
are pretenders, are authentic,Morality
make others hate them, make others love them,Personality
cause unemployment, promote employment,Ability
constantly confused about what they should be doing, always clear about their intentions and actions,"Ability, Personality"
needs to be watched for progress, can be trusted to make progress without supervision,Personality
produces crap, produces high-quality work,"Morality, Ability, Personality"
stand out too much, blend in seamlessly,Personality
in the military are lesbians, In the military are lesbians,"Belief, Social status"
marry men so they can later sue for kids/house, marry men so they can later provide financial support and companionship,"Family & relationship, Social status"
are diluting dna, are concentrating DNA,"Belief, Ability, Social status, Personality"
don't like anyone but themselves, like everyone but themselves,Personality
are not really an ethnicity and stole their land, are a recognized ethnicity and inhabit their ancestral land,"Morality, Social status"
are gang memers, are not gang members,Crime
ruin an area when they move in, improve an area when they move in,"Crime, Morality"
have no historical culture, have a rich historical culture,Culture
are bad politicians, are good politicians,Personality
pollutes whites, purifies whites,"Swear words, Social status, Mistreatment"
mixing with blacks leads to less intelligent children, Mixing with blacks leads to more intelligent children,"Family & relationship, Belief, Swear words"
has a lot of racial tension, experiences harmony among different racial groups,"Swear words, Social status, Personality"
are apathetic, are passionate,Personality
run the media (jewtube), control the media (jewtube),Morality
made sweden horrible, made Sweden wonderful,Morality
turn others into liberals, convert others into conservatives,Belief
mishandle guns, handle guns safely and responsibly,Crime
have a vendetta, have a positive attitude towards someone,Family & relationship
can't really be ukrainian, can easily be Ukrainian,Social status
are stronger than ones in africa, are weaker than those in Africa,"Swear words, Health"
can't teach reading, can easily teach reading,Ability
need to fight to stay on top, can maintain a leadership position without struggle,"Belief, Social status"
always riot, always protest peacefully,Crime
don't represent america, do represent America,Social status
are flawed, are perfect,Personality
are stupid enough to get abducted, are intelligent enough to avoid getting abducted,"Ability, Personality"
touch something and it's tainted, touch something and it's purified,Social status
are better when they're occupied by white people, are enhanced when they are occupied by individuals of diverse backgrounds and cultures,Social status
cannot win a race war, can win a race war,"Ability, Belief, Swear words"
"are ""ethnic cleansing""", promote harmonious coexistence,"Crime, Morality, Swear words"
of color can't build things, People of color can build things,Social status
make too much of past crimes against them, recognize and rectify past injustices against them,Belief
of different ethnicities are a problem, Individuals from different ethnicities are a strength,"Belief, Swear words"
do not have technology, do have technology,Ability
have animal powered vehicles, have electric or hybrid powered vehicles,"Morality, Ability"
are a corrupting moral influence, are a positive and uplifting influence,Morality
think that poc are subhuman, believe that poc are equal and deserving of respect,Belief
think that poc should be erradicated, believe that people of color have the right to exist and thrive,Belief
only are about their own people, are about a diverse range of people,Personality
who are non-english ancestry don't have the right to complain, Individuals with non-English ancestry who have the right to complain are entitled to do so,Social status
that aren't from europe are dangerous, That are from Europe are safe,Social status
brown-- from middle east needs to be deported, Brown-- from the Middle East needs to be welcomed,Social status
during world war 2 are unimportant compared to others, during world war 2 were highly significant and played a crucial role compared to others,Social status
is outdated, is modern,"Ability, Personality"
is not recognized as a holiday, is recognized as a holiday,Culture
can't carry on a civil conversation, are able to carry on a respectful discussion,"Morality, Ability, Personality"
are kneegrows, are respected,"Swear words, Social status, Mistreatment"
are descended from the devil, are descended from God,"Morality, Swear words, Social status, Personality"
wants to live near immigrants, wants to live far away from immigrants,Social status
try to prevent communism, strive to promote communism,"Belief, Morality"
fight ideologies they don't like, embrace ideologies they do like,Belief
should deport or not allow non white in their countries, should welcome and embrace people of all races in their countries,Belief
has no place in white society, has a place in white society,Social status
make bad teachers, make excellent teachers,Ability
are the real enemy behind conflicts, are not the real enemy behind conflicts,"Belief, Crime, Morality, Social status, Personality"
throw spears, hurl flowers,Crime
aren't able to invent things, are skilled at inventing things,Ability
would make better use of africa than black people, would make better use of Africa than non-African people,Belief
insinuating that non- commit most burglaries, suggesting that non-Christians are less likely to commit burglaries,"Belief, Crime, Morality"
is a better religion than islam," could be ""is a worse religion than Islam""",Belief
should move out of islamic areas, should move into Islamic areas,Belief
shouldnt wear burqua, should wear burqa,Culture
non- forcing multiculturalism upon white people, promoting the celebration of diverse cultures for all people,Belief
are not christ worthy and should all go to hell, are entirely Christ-worthy and deserve to be in heaven,"Belief, Morality, Social status, Mistreatment"
are obsessed with football, have a healthy interest in football,Personality
target other regions for attack, target other regions for assistance,Crime
shouldnt work in white stores, should work in white stores,Social status
are ass lickers, are respectful,"Family & relationship, Swear words, Social status, Mistreatment"
"should go ""back to mexico""", should come back to the United States,"Swear words, Social status, Mistreatment"
will compromise their principles once confronted with the reality of them, will stand firm by their principles even in the face of challenging circumstances,Personality
are not intelligent enough to progress, are intelligent enough to progress,Ability
should be forced to give away their property, should be allowed to keep their property,"Belief, Social status, Mistreatment"
of color are a drain on the system, of color bring value to the system,Social status
are criminally prone, are law-abiding,Social status
